item,date_buy
M4A4 - Dragon King (MW),2023-06-11
Glock - Gamma Dopple (FN),2024-08-16
Galil - Cerberus (MW),2024-08-16
Desert Eagle - Ocean Drive (MW),2021-10-26
Talon - Night Stripe (BS),2024-01-20
MP9 - Monte Fuji (FT),2021-10-18
Hunstman - Crimson Web (FT),2023-11-07
AWP - Graphite (FN),2021-11-04
Usp - Whiteout (MW),2021-06-18
Agente Sir Bloody,2023-06-11
P250 - See Ya Later (MW),2021-06-11
AK-47 - Bloodsport (FT),2021-11-01
M4A1-S - PrintStream (FT),2021-11-06
Butterfly - Forest DDPAT (FT),2024-02-01
