item,date,offers,price
Glock - Gamma Dopple (FN),2021-09-22,1699,301.317
Glock - Gamma Dopple (FN),2021-09-23,528,252.551
Glock - Gamma Dopple (FN),2021-09-24,462,231.223
Glock - Gamma Dopple (FN),2021-09-25,419,203.725
Glock - Gamma Dopple (FN),2021-09-26,351,184.527
Glock - Gamma Dopple (FN),2021-09-27,319,198.341
Glock - Gamma Dopple (FN),2021-09-28,179,189.871
Glock - Gamma Dopple (FN),2021-09-29,298,182.336
Glock - Gamma Dopple (FN),2021-09-30,269,157.109
Glock - Gamma Dopple (FN),2021-10-01,261,245.458
Glock - Gamma Dopple (FN),2021-10-02,226,165.381
Glock - Gamma Dopple (FN),2021-10-03,256,159.385
Glock - Gamma Dopple (FN),2021-10-04,153,146.816
Glock - Gamma Dopple (FN),2021-10-05,157,197.193
Glock - Gamma Dopple (FN),2021-10-06,148,176.536
Glock - Gamma Dopple (FN),2021-10-07,166,243.087
Glock - Gamma Dopple (FN),2021-10-08,160,149.595
Glock - Gamma Dopple (FN),2021-10-09,126,137.787
Glock - Gamma Dopple (FN),2021-10-10,184,135.378
Glock - Gamma Dopple (FN),2021-10-11,173,187.253
Glock - Gamma Dopple (FN),2021-10-12,143,133.309
Glock - Gamma Dopple (FN),2021-10-13,119,172.417
Glock - Gamma Dopple (FN),2021-10-14,171,149.664
Glock - Gamma Dopple (FN),2021-10-15,139,124.538
Glock - Gamma Dopple (FN),2021-10-16,145,140.628
Glock - Gamma Dopple (FN),2021-10-17,101,141.795
Glock - Gamma Dopple (FN),2021-10-18,135,147.171
Glock - Gamma Dopple (FN),2021-10-19,138,122.044
Glock - Gamma Dopple (FN),2021-10-20,117,138.501
Glock - Gamma Dopple (FN),2021-10-21,109,168.35
Glock - Gamma Dopple (FN),2021-10-22,181,106.462
Glock - Gamma Dopple (FN),2021-10-23,134,105.45
Glock - Gamma Dopple (FN),2021-10-24,117,111.771
Glock - Gamma Dopple (FN),2021-10-25,103,190.233
Glock - Gamma Dopple (FN),2021-10-26,131,113.278
Glock - Gamma Dopple (FN),2021-10-27,165,163.043
Glock - Gamma Dopple (FN),2021-10-28,182,131.532
Glock - Gamma Dopple (FN),2021-10-29,141,156.529
Glock - Gamma Dopple (FN),2021-10-30,126,161.08
Glock - Gamma Dopple (FN),2021-10-31,137,141.363
Glock - Gamma Dopple (FN),2021-11-01,132,112.757
Glock - Gamma Dopple (FN),2021-11-02,138,163.319
Glock - Gamma Dopple (FN),2021-11-03,133,121.854
Glock - Gamma Dopple (FN),2021-11-04,128,187.984
Glock - Gamma Dopple (FN),2021-11-05,133,122.866
Glock - Gamma Dopple (FN),2021-11-06,121,120.191
Glock - Gamma Dopple (FN),2021-11-07,147,116.032
Glock - Gamma Dopple (FN),2021-11-08,153,114.409
Glock - Gamma Dopple (FN),2021-11-09,124,113.42
Glock - Gamma Dopple (FN),2021-11-10,185,100.627
Glock - Gamma Dopple (FN),2021-11-11,171,105.128
Glock - Gamma Dopple (FN),2021-11-12,139,106.428
Glock - Gamma Dopple (FN),2021-11-13,133,155.308
Glock - Gamma Dopple (FN),2021-11-14,118,110.227
Glock - Gamma Dopple (FN),2021-11-15,135,131.471
Glock - Gamma Dopple (FN),2021-11-16,117,142.989
Glock - Gamma Dopple (FN),2021-11-17,112,106.377
Glock - Gamma Dopple (FN),2021-11-18,117,105.88
Glock - Gamma Dopple (FN),2021-11-19,129,106.287
Glock - Gamma Dopple (FN),2021-11-20,120,189.755
Glock - Gamma Dopple (FN),2021-11-21,104,151.234
Glock - Gamma Dopple (FN),2021-11-22,112,112.966
Glock - Gamma Dopple (FN),2021-11-23,119,149.574
Glock - Gamma Dopple (FN),2021-11-24,129,111.162
Glock - Gamma Dopple (FN),2021-11-25,119,100.218
Glock - Gamma Dopple (FN),2021-11-26,127,100.501
Glock - Gamma Dopple (FN),2021-11-27,117,99.07
Glock - Gamma Dopple (FN),2021-11-28,109,146.494
Glock - Gamma Dopple (FN),2021-11-29,87,155.796
Glock - Gamma Dopple (FN),2021-11-30,161,100.663
Glock - Gamma Dopple (FN),2021-12-01,102,133.653
Glock - Gamma Dopple (FN),2021-12-02,114,114.358
Glock - Gamma Dopple (FN),2021-12-03,109,169.443
Glock - Gamma Dopple (FN),2021-12-04,112,112.242
Glock - Gamma Dopple (FN),2021-12-05,126,112.743
Glock - Gamma Dopple (FN),2021-12-06,80,115.64
Glock - Gamma Dopple (FN),2021-12-07,81,120.477
Glock - Gamma Dopple (FN),2021-12-08,117,114.053
Glock - Gamma Dopple (FN),2021-12-09,103,112.334
Glock - Gamma Dopple (FN),2021-12-10,120,114.776
Glock - Gamma Dopple (FN),2021-12-11,119,114.251
Glock - Gamma Dopple (FN),2021-12-12,85,116.323
Glock - Gamma Dopple (FN),2021-12-13,111,110.989
Glock - Gamma Dopple (FN),2021-12-14,112,120.004
Glock - Gamma Dopple (FN),2021-12-15,118,112.827
Glock - Gamma Dopple (FN),2021-12-16,100,113.703
Glock - Gamma Dopple (FN),2021-12-17,73,118.09
Glock - Gamma Dopple (FN),2021-12-18,115,224.873
Glock - Gamma Dopple (FN),2021-12-19,105,115.244
Glock - Gamma Dopple (FN),2021-12-20,87,110.612
Glock - Gamma Dopple (FN),2021-12-21,113,128.641
Glock - Gamma Dopple (FN),2021-12-22,96,112.642
Glock - Gamma Dopple (FN),2021-12-23,92,111.414
Glock - Gamma Dopple (FN),2021-12-24,119,114.72
Glock - Gamma Dopple (FN),2021-12-25,125,111.458
Glock - Gamma Dopple (FN),2021-12-26,141,115.729
Glock - Gamma Dopple (FN),2021-12-27,111,110.252
Glock - Gamma Dopple (FN),2021-12-28,108,114.251
Glock - Gamma Dopple (FN),2021-12-29,157,115.055
Glock - Gamma Dopple (FN),2021-12-30,117,123.867
Glock - Gamma Dopple (FN),2021-12-31,96,261.171
Glock - Gamma Dopple (FN),2022-01-01,132,175.342
Glock - Gamma Dopple (FN),2022-01-02,115,124.794
Glock - Gamma Dopple (FN),2022-01-03,130,123.341
Glock - Gamma Dopple (FN),2022-01-04,122,147.016
Glock - Gamma Dopple (FN),2022-01-05,176,118.801
Glock - Gamma Dopple (FN),2022-01-06,155,123.258
Glock - Gamma Dopple (FN),2022-01-07,133,122.763
Glock - Gamma Dopple (FN),2022-01-08,167,174.577
Glock - Gamma Dopple (FN),2022-01-09,124,158.816
Glock - Gamma Dopple (FN),2022-01-10,132,186.295
Glock - Gamma Dopple (FN),2022-01-11,151,152.754
Glock - Gamma Dopple (FN),2022-01-12,134,127.026
Glock - Gamma Dopple (FN),2022-01-13,118,179.283
Glock - Gamma Dopple (FN),2022-01-14,136,127.796
Glock - Gamma Dopple (FN),2022-01-15,152,144.418
Glock - Gamma Dopple (FN),2022-01-16,174,126.158
Glock - Gamma Dopple (FN),2022-01-17,144,124.177
Glock - Gamma Dopple (FN),2022-01-18,119,120.559
Glock - Gamma Dopple (FN),2022-01-19,121,119.554
Glock - Gamma Dopple (FN),2022-01-20,98,126.064
Glock - Gamma Dopple (FN),2022-01-21,166,120.343
Glock - Gamma Dopple (FN),2022-01-22,139,119.993
Glock - Gamma Dopple (FN),2022-01-23,154,151.27
Glock - Gamma Dopple (FN),2022-01-24,140,116.228
