item                         date_buy
M4A4 - Dragon King (MW)        11/06/2023
Glock - Gamma Dopple (FN)      16/08/2024
Galil - Cerberus (MW)          16/08/2024
Desert Eagle - Ocean Drive (M  26/10/2021
Talon - Night Stripe (BS)      20/01/2024
MP9 - Monte Fuji (FT)          18/10/2021
Hunstman - Crimson Web (FT)    07/11/2023
Usp - Whiteout (MW)            04/11/2021
Agente Sir Bloody              18/06/2021
P250 - See Ya Later (MW)       11/06/2023
AK-47 - Bloodsport (FT)        11/06/2021
M4A1-S - PrintStream (FT)      01/11/2021
AWP - Graphite (FN)            06/11/2021
